File Name,Author Name,Link,Total Articles Count,Total Citations (Copied),Total Citations (Calculated),... Count,... Citation Count,False Count,False Citation Count
"Richard Anderson.txt
","Richard Anderson
","https://scholar.google.com/citations?hl=en&user=HXfhGacAAAAJ
",219,15612,15612,18,1803,1,1628
"Mark Oskin.txt
","Mark Oskin
","https://scholar.google.com/citations?hl=en&user=gHfzsl4AAAAJ
",144,4081,4081,15,401,8,148
"Bryan Parno.txt
","Bryan Parno
","https://scholar.google.com/citations?hl=en&user=kTTBpJkAAAAJ
",129,7957,7989,11,189,7,194
"Aniket Kittur.txt
","Aniket Kittur
","https://scholar.google.com/citations?hl=en&user=2vZ5zRQAAAAJ
",114,9964,9964,1,1,10,607
"Luis Gravano.txt
","Luis Gravano
","https://scholar.google.com/citations?hl=en&user=Ff6era8AAAAJ
",143,14235,14235,5,100,3,56
"Peter Chen.txt
","Peter Chen
","https://scholar.google.com/citations?hl=en&user=dVZNQqUAAAAJ
",143,12141,12141,19,295,5,10
"Aaron Roth.txt
","Aaron Roth
","https://scholar.google.com/citations?hl=en&user=kLUQrrYAAAAJ
",103,5671,5671,2,163,0,0
"Scott Klemmer.txt
","Scott Klemmer
","https://scholar.google.com/citations?hl=en&user=BEHcR-IAAAAJ
",168,7611,7611,8,377,3,24
"Hari Balakrishnan.txt
","Hari Balakrishnan
","https://scholar.google.com/citations?hl=en&user=Qf4bw4UAAAAJ
",490,121297,121297,95,6712,30,4412
"Edmond Chow.txt
","Edmond Chow
","https://scholar.google.com/citations?hl=en&user=jGqGKGMAAAAJ
",131,4766,4766,10,1654,1,0
"David Mimno.txt
","David Mimno
","https://scholar.google.com/citations?hl=en&user=uBFV6SUAAAAJ
",95,5751,5751,4,8,6,28
"Augustin Chaintreau.txt
","Augustin Chaintreau
","https://scholar.google.com/citations?hl=en&user=Hb6J54cAAAAJ
",117,7223,7223,5,96,3,0
"Patrick Jaillet.txt
","Patrick Jaillet
","https://scholar.google.com/citations?hl=en&user=ND0FM6EAAAAJ
",226,7406,7439,7,127,5,610
"Mayur Naik.txt
","Mayur Naik
","https://scholar.google.com/citations?hl=en&user=fmsV6nEAAAAJ
",73,6745,6745,2,87,1,19
"Jacob Eisenstein.txt
","Jacob Eisenstein
","https://scholar.google.com/citations?hl=en&user=Wb_lnjAAAAAJ
",148,6770,6770,5,24,1,0
"David Padua.txt
","David Padua
","https://scholar.google.com/citations?hl=en&user=QaLf6bEAAAAJ
",389,14017,14158,31,578,22,760
"Aws Albarghouthi.txt
","Aws Albarghouthi
","https://scholar.google.com/citations?hl=en&user=CUbC2zYAAAAJ
",50,833,833,1,16,2,25
"Ethan Katz-Bassett.txt
","Ethan Katz-Bassett
","https://scholar.google.com/citations?hl=en&user=CknstQwAAAAJ
",60,3016,3016,9,675,0,0
"Katharina Reinecke.txt
","Katharina Reinecke
","https://scholar.google.com/citations?hl=en&user=_4EISRwAAAAJ
",62,1669,1669,3,38,1,0
"Ion Stoica.txt
","Ion Stoica
","https://scholar.google.com/citations?hl=en&user=vN-is70AAAAJ
",500,100206,100206,74,28929,19,690
"Charles Elkan.txt
","Charles Elkan
","https://scholar.google.com/citations?hl=en&user=im5aMngAAAAJ
",207,23460,23517,10,156,15,1806
"Alexandra Boldyreva.txt
","Alexandra Boldyreva
","https://scholar.google.com/citations?hl=en&user=8mHLyRoAAAAJ
",71,6703,6755,3,0,0,0
"William Griswold.txt
","William Griswold
","https://scholar.google.com/citations?hl=en&user=yx0wJlIAAAAJ
",261,16404,16404,26,748,5,92
"David Blei.txt
","David Blei
","https://scholar.google.com/citations?hl=en&user=8OYE6iEAAAAJ
",384,72417,72417,10,15,39,5565
"Anup Rao.txt
","Anup Rao
","https://scholar.google.com/citations?hl=en&user=T2U5sGIAAAAJ
",56,1783,1783,3,0,3,142
"Srinivasan Seshan.txt
","Srinivasan Seshan
","https://scholar.google.com/citations?hl=en&user=0irVeiQAAAAJ
",246,23518,23518,25,1174,8,2484
"Terrence Sejnowski.txt
","Terrence Sejnowski
","https://scholar.google.com/citations?hl=en&user=m1qAiOUAAAAJ
",500,134114,131659,53,15830,27,8794
"John Zimmerman.txt
","John Zimmerman
","https://scholar.google.com/citations?hl=en&user=A-4JUL4AAAAJ
",208,13042,13042,9,198,0,0
"Nancy Lynch.txt
","Nancy Lynch
","https://scholar.google.com/citations?hl=en&user=LPTkkxUAAAAJ
",500,35450,36535,10,41,13,204
"Graham Neubig.txt
","Graham Neubig
","https://scholar.google.com/citations?hl=en&user=wlosgkoAAAAJ
",484,3777,3799,8,57,131,126
"Ali Farhadi.txt
","Ali Farhadi
","https://scholar.google.com/citations?hl=en&user=jeOFRDsAAAAJ
",121,18088,18088,2,43,1,14
"Mark Guzdial.txt
","Mark Guzdial
","https://scholar.google.com/citations?hl=en&user=iQV2L2IAAAAJ
",425,15109,15109,13,45,17,300
"Hartmut Geyer.txt
","Hartmut Geyer
","https://scholar.google.com/citations?hl=en&user=aC5315UAAAAJ
",109,4704,4814,5,23,4,48
"Dexter Kozen.txt
","Dexter Kozen
","https://scholar.google.com/citations?hl=en&user=LV1qWjgAAAAJ
",500,18100,22524,20,33,18,4438
"Shayan Gharan.txt
","Shayan Gharan
","https://scholar.google.com/citations?hl=en&user=TZWVRR8AAAAJ
",52,1543,1543,1,89,0,0
"Shiri Azenkot.txt
","Shiri Azenkot
","https://scholar.google.com/citations?hl=en&user=jNQlAkoAAAAJ
",56,1311,1527,1,0,3,2
"Sanjoy Dasgupta.txt
","Sanjoy Dasgupta
","https://scholar.google.com/citations?hl=en&user=E5dXOFAAAAAJ
",100,7931,7931,7,89,0,0
"Eun Choe.txt
","Eun Choe
","https://scholar.google.com/citations?hl=en&user=YjSJWqkAAAAJ
",59,1588,1588,5,0,0,0
"Theodoros Rekatsinas.txt
","Theodoros Rekatsinas
","https://scholar.google.com/citations?hl=en&user=ZUzG5igAAAAJ
",33,478,478,1,3,0,0
"Ronald Fedkiw.txt
","Ronald Fedkiw
","https://scholar.google.com/citations?hl=en&user=OoItXTkAAAAJ
",193,30714,30913,18,302,11,609
"Nuno Bandeira.txt
","Nuno Bandeira
","https://scholar.google.com/citations?hl=en&user=dufShEsAAAAJ
",110,6569,6569,35,4003,1,4
"Phillip Gibbons.txt
","Phillip Gibbons
","https://scholar.google.com/citations?hl=en&user=F9kqUXkAAAAJ
",297,21712,21712,21,521,5,136
"Leilani Battle.txt
","Leilani Battle
","https://scholar.google.com/citations?hl=en&user=9ghHK7sAAAAJ
",26,1052,1052,1,0,0,0
"Linda Shapiro.txt
","Linda Shapiro
","https://scholar.google.com/citations?hl=en&user=nBwaXUsAAAAJ
",458,20500,20500,53,728,24,864
"Armando Solar-Lezama.txt
","Armando Solar-Lezama
","https://scholar.google.com/citations?hl=en&user=8BX3BokAAAAJ
",122,3602,3602,10,466,1,53
"Thomas Reps.txt
","Thomas Reps
","https://scholar.google.com/citations?hl=en&user=pwhyTq0AAAAJ
",433,22438,27172,11,1,36,88
"Hector Garcia-Molina.txt
","Hector Garcia-Molina
","https://scholar.google.com/citations?hl=en&user=bAa___kAAAAJ
",500,88953,88643,11,866,21,11234
"Dimitris Papailiopoulos.txt
","Dimitris Papailiopoulos
","https://scholar.google.com/citations?hl=en&user=hYi6i9sAAAAJ
",53,2740,2740,1,3,0,0
